n,macro_f1,balanced_accuracy,accuracy,macro_average_precision,false_alarm_rate,absent_test_classes,source,target,task,seed,model,train_seconds,inference_seconds
80000,0.44676514710654247,0.4488702251573408,0.7786125,0.49919824742300684,0.11976989670855945,[],unsw,ids2018,binary,1337,SoftVoting,10.365592500000048,0.38542819999997846
80000,0.9774418699661472,0.9932499487320339,0.9958375,0.9944962107264974,0.0038949798038084246,[],unsw,unsw,binary,1337,SoftVoting,10.365592500000048,0.3701234000000113
80000,0.4671256137394967,0.4897022574812603,0.8595,0.40159812619887236,0.026538390693852106,[],unsw,ids2018,binary,1337,XGBoost,4.125366799999938,0.21714109999993525
80000,0.9796373141771159,0.9846263703158952,0.996325,0.9943832337023237,0.002465509101400619,[],unsw,unsw,binary,1337,XGBoost,4.125366799999938,0.19295229999988806
80000,0.6491952363235406,0.7181712100659425,0.8279875,0.6417050112872907,0.1862594986957015,[],ids2018,ids2018,multiclass,7,DecisionTree,6.215517599999885,0.1645143000000644
80000,0.6779103308182829,0.7455941073836237,0.928075,0.7334935130942174,0.0749688102529205,[],ids2018,ids2018,multiclass,7,DeepMLP,62.39725490000001,0.2652844000001551
80000,0.5725019392766691,0.7358758023702011,0.9326,0.6959973052721806,0.06670352727685154,[],ids2018,ids2018,multiclass,7,FeatureCNN,33.7645258,0.6404802000001837
80000,0.7572770319596908,0.755369682119347,0.9773,0.7568905420033922,0.020060678235227402,[],ids2018,ids2018,multiclass,7,RandomForest,25.785901400000057,1.139624700000013
80000,0.6466380178965536,0.7480462860679111,0.8013375,0.7276465400557336,0.21923556765339686,[],ids2018,ids2018,multiclass,7,ShallowMLP,19.964462800000092,0.145911900000101
80000,0.6855556027581735,0.7171351772913208,0.9873625,0.7566521497315312,0.006039469207213338,[],ids2018,ids2018,multiclass,7,SoftVoting,101.71612509999977,3.807985400000007
80000,0.6674526917302643,0.7002216808529235,0.9896125,0.7487621585173159,0.003019734603606669,[],ids2018,ids2018,multiclass,7,XGBoost,69.71470609999983,1.9956511000000319
80000,0.7147279537051161,0.7498325627218114,0.7393375,0.7250057914372613,0.2938506103272853,[],ids2018,ids2018,multiclass,42,DecisionTree,3.2298139000000674,0.0965289999999186
80000,0.5886783895077926,0.7300511012640051,0.9394375,0.7203635058485963,0.0437965671792359,[],ids2018,ids2018,multiclass,42,DeepMLP,97.93073420000007,0.3322695000000522
80000,0.5681870278021904,0.7322611795619323,0.875575,0.7088641494381207,0.13641931718283878,[],ids2018,ids2018,multiclass,42,FeatureCNN,97.66661429999999,0.8379853999999796
80000,0.6874898021561537,0.7301645825337686,0.9690125,0.736927298868926,0.029471530069607576,[],ids2018,ids2018,multiclass,42,RandomForest,13.456059800000048,0.6431760000000395
80000,0.529367380507965,0.7301408805105815,0.572575,0.7087826019627738,0.4886797619219185,[],ids2018,ids2018,multiclass,42,ShallowMLP,12.247817800000007,0.2595351000001074
80000,0.7343580629110316,0.7315786179063106,0.9907,0.7379879621795101,0.0040928677456080935,[],ids2018,ids2018,multiclass,42,SoftVoting,74.86831610000013,1.6353752999999642
