source,target,model,row,true_label,baseline,ranking,advantage,sufficiency_gap
ids2018,ids2018,DeepMLP,3228906,0,mean,absolute,0.017306625843048096,0.36698550780614214
ids2018,ids2018,DeepMLP,3228906,0,mean,signed_descending,0.01746757825215657,0.17872280677159627
ids2018,ids2018,DeepMLP,5124375,0,median,absolute,-0.03807776769002278,0.027806019783020015
ids2018,ids2018,DeepMLP,5124375,0,median,signed_descending,-0.024848560492197674,0.012020448843638102
ids2018,ids2018,DeepMLP,5124375,0,mean,absolute,0.030643069744110105,0.15807547569274902
ids2018,ids2018,DeepMLP,5124375,0,mean,signed_descending,0.17719673315684,0.16613089243570964
ids2018,ids2018,DeepMLP,5998673,1,median,absolute,0.4001227418581645,0.6049720327059428
ids2018,ids2018,DeepMLP,5998673,1,median,signed_descending,0.4647480885187784,0.5345218181610107
ids2018,ids2018,DeepMLP,5998673,1,mean,absolute,0.10632383426030478,0.09473812977472941
ids2018,ids2018,DeepMLP,5998673,1,mean,signed_descending,0.15893487930297853,0.0926371693611145
ids2018,ids2018,DeepMLP,6392601,0,median,absolute,0.018318772315979004,-0.0068444887797037765
ids2018,ids2018,DeepMLP,6392601,0,median,signed_descending,0.012653851509094238,-0.046982840696970625
ids2018,ids2018,DeepMLP,6392601,0,mean,absolute,0.005321518580118816,0.31158407727877296
ids2018,ids2018,DeepMLP,6392601,0,mean,signed_descending,0.0059156735738118485,0.18054957787195844
ids2018,ids2018,DeepMLP,8475280,1,median,absolute,0.0011586030324300131,0.9619581143061321
ids2018,ids2018,DeepMLP,8475280,1,median,signed_descending,0.00166092316309611,0.9601310133934021
ids2018,ids2018,DeepMLP,8475280,1,mean,absolute,-0.0011518001556396484,0.5463339328765869
ids2018,ids2018,DeepMLP,8475280,1,mean,signed_descending,-0.0002711534500122071,0.4199177980422974
ids2018,ids2018,DeepMLP,8535025,1,median,absolute,0.11513958374659221,0.7190072933832804
ids2018,ids2018,DeepMLP,8535025,1,median,signed_descending,0.23418552478154497,0.5382502953211467
ids2018,ids2018,DeepMLP,8535025,1,mean,absolute,0.017163240909576414,0.14999937216440837
ids2018,ids2018,DeepMLP,8535025,1,mean,signed_descending,0.042415897051493325,0.05229173898696899
ids2018,ids2018,DeepMLP,8632909,1,median,absolute,0.01647723913192749,0.9579158425331116
ids2018,ids2018,DeepMLP,8632909,1,median,signed_descending,0.025585611661275227,0.945323928197225
ids2018,ids2018,DeepMLP,8632909,1,mean,absolute,-0.0017067511876424156,0.5227570335070292
ids2018,ids2018,DeepMLP,8632909,1,mean,signed_descending,0.0017201781272888183,0.393195637067159
ids2018,ids2018,DeepMLP,9041050,1,median,absolute,-0.09388049443562825,0.9615739385286967
ids2018,ids2018,DeepMLP,9041050,1,median,signed_descending,-0.06651820341746012,0.9547534267107646
ids2018,ids2018,DeepMLP,9041050,1,mean,absolute,-0.0749922792116801,0.5375301400820414
ids2018,ids2018,DeepMLP,9041050,1,mean,signed_descending,-0.06063845952351888,0.40614555676778163
